,yield,y_classider,y_regression
2014-08-25 10:00:00,0.0,0.0,0.0
2014-02-01 14:00:00,2.236622074,1.0,5.8960423633
2014-08-16 00:00:00,0.0,0.0,0.0
2014-04-30 22:00:00,0.0,0.0,0.0
2015-03-06 12:00:00,0.0,0.0,0.0
2014-12-05 04:00:00,2.389910814,1.0,2.7327201783
2014-05-18 16:00:00,0.0,0.0,0.0
2014-01-18 18:00:00,10.48634337,1.0,8.001672241
2014-02-06 18:00:00,0.0,0.0,0.0
2013-12-10 18:00:00,0.0,0.0,0.0
2015-09-29 08:00:00,0.0,0.0,0.0
2015-10-22 22:00:00,0.0,0.0,1.1705685619
2015-01-31 06:00:00,0.989409142,1.0,1.0500278707
2014-06-10 12:00:00,0.529542921,0.0,0.0
2015-11-08 12:00:00,0.0,0.0,0.0
2013-12-07 22:00:00,0.0,0.0,0.0
2014-01-09 06:00:00,0.0,0.0,0.0
2015-08-13 08:00:00,0.0,0.0,0.0
2014-01-30 02:00:00,7.225473802,1.0,5.886287626
2014-09-30 14:00:00,0.0,0.0,0.0
2014-04-05 06:00:00,0.0,0.0,0.0
2015-08-19 04:00:00,0.0,0.0,0.0
2015-09-25 12:00:00,0.0,0.0,0.0
2014-04-25 08:00:00,0.0,0.0,0.0
2014-07-11 08:00:00,0.0,0.0,0.0
2015-10-15 20:00:00,0.0,0.0,0.0
2014-07-17 06:00:00,0.0,0.0,0.0
2014-07-27 10:00:00,0.0,0.0,0.0
2015-10-24 06:00:00,0.01393534,1.0,1.4952619844
2015-10-24 02:00:00,0.0,1.0,1.4123467112
2014-07-27 16:00:00,0.0,0.0,0.0
2014-04-24 14:00:00,0.0,0.0,0.0
2014-12-28 12:00:00,0.0,0.0,0.0118457693637
2014-02-17 16:00:00,13.52424749,1.0,8.6197045718
2015-11-09 22:00:00,0.0,0.0,0.0
2014-12-03 04:00:00,12.33974359,1.0,12.9682274246
2015-08-10 06:00:00,0.0,0.0,0.0
2015-02-15 04:00:00,0.0,0.0,0.0
2014-12-07 00:00:00,0.0,0.0,0.5239687848
2015-01-17 14:00:00,0.0,0.0,0.0
2014-06-21 00:00:00,0.0,0.0,0.0
2015-12-01 22:00:00,0.0,0.0,0.016722408
2014-04-24 20:00:00,0.0,0.0,0.0
2015-03-31 10:00:00,0.0,0.0,0.0
2015-10-10 06:00:00,0.0,0.0,0.0
2014-05-02 14:00:00,0.0,0.0,0.0
2015-02-24 20:00:00,0.0,0.0,0.0
2014-06-08 02:00:00,0.0,0.0,0.0
2014-06-02 04:00:00,0.0,0.0,0.0
2014-10-02 14:00:00,0.0,0.0,0.0
2015-03-29 20:00:00,0.0,0.0,0.0
2014-04-05 08:00:00,0.0,0.0,0.0
2014-10-20 00:00:00,0.0,0.0,0.0
2014-03-28 18:00:00,1.630434783,1.0,8.0218784837
2014-06-05 10:00:00,0.0,0.0,0.0
