,yield,y_classider,y_regression
2015-11-21 08:00:00,0.0,0.0,0.0
2014-07-29 20:00:00,0.0,0.0,0.0
2014-08-24 12:00:00,0.0,0.0,0.0
2014-01-29 14:00:00,19.08444816,1.0,18.491499442
2015-11-02 14:00:00,0.0,0.0,0.0
2014-07-07 16:00:00,4.076086957,0.0,0.1560758083
2014-06-27 16:00:00,0.0,0.0,0.0
2014-08-08 06:00:00,0.0,0.0,0.0
2015-09-26 00:00:00,0.0,0.0,0.0
2015-09-10 16:00:00,0.0,0.0,0.0
2015-01-12 22:00:00,0.0,0.0,0.0
2015-09-14 04:00:00,0.0,0.0,0.0
2015-03-07 00:00:00,0.0,0.0,0.0
2015-11-24 04:00:00,0.0,0.0,0.0
2014-09-15 18:00:00,0.0,0.0,0.0
2014-11-01 06:00:00,0.0,0.0,0.0
2014-03-23 14:00:00,0.0,0.0,0.0
2014-07-10 16:00:00,0.0,0.0,0.0
2014-10-31 14:00:00,0.0,0.0,0.0
2015-02-17 22:00:00,0.459866221,1.0,1.7370401337
2015-10-21 06:00:00,0.0,0.0,0.0
2015-10-29 12:00:00,0.0,0.0,0.0
2015-08-11 00:00:00,0.0,0.0,0.0
2014-01-07 18:00:00,0.0,0.0,0.0
2015-02-01 02:00:00,13.39186176,1.0,17.358556298
2015-08-12 12:00:00,0.0,0.0,0.0
2015-09-12 00:00:00,0.0,0.0,0.0
2015-12-12 08:00:00,0.0,0.0,0.0
2014-09-27 12:00:00,0.0,0.0,0.0
2014-09-18 16:00:00,0.0,0.0,0.0
2015-02-05 14:00:00,0.0,0.0,0.8632943143
2014-01-19 04:00:00,16.28344482,1.0,12.9250278715
2014-04-05 16:00:00,0.0,0.0,0.0
2014-06-04 02:00:00,0.0,0.0,0.0
2015-08-31 02:00:00,0.0,0.0,0.0
2015-02-02 20:00:00,0.0,0.0,0.0
2014-07-01 10:00:00,0.0,0.0,0.0
2015-01-30 16:00:00,0.26477146,0.0,0.0
2013-12-08 00:00:00,0.0,0.0,0.0
2015-10-24 18:00:00,0.0,0.0,0.0
2014-07-26 12:00:00,0.00696767,0.0,0.0
2014-09-27 14:00:00,0.0,0.0,0.0
2015-03-11 18:00:00,0.0,0.0,0.0
2015-12-13 22:00:00,0.0,0.0,0.0
2014-08-02 04:00:00,30.33723523,1.0,23.906772575
2015-11-29 10:00:00,0.0,0.0,0.0
2014-08-09 00:00:00,0.0,0.0,0.0
2015-02-13 10:00:00,1.268115942,1.0,3.9701783725
2014-04-11 06:00:00,0.0,0.0,0.0
2014-12-04 22:00:00,10.77201784,1.0,4.3136845039
2015-10-12 00:00:00,5.734392419,1.0,2.3871237458
2014-08-23 08:00:00,0.0,0.0,0.0
2014-07-20 18:00:00,0.0,0.0,0.0
